Time,temperature_2m_min,temperature_2m_max,surface_net_solar_radiation_sum,dewpoint_temperature_2m
"Jan 1, 1995",271.814,276.754,"3,344,460",271.846
"Jan 2, 1995",270.116,273.969,"2,775,124",269.4
"Jan 3, 1995",269.263,273.875,"2,071,688",269.245
"Jan 4, 1995",267.609,271.463,"3,043,414",265.991
"Jan 5, 1995",264.908,269.166,"3,679,262",262.091
"Jan 6, 1995",265.09,271.087,"1,228,874",265.335
"Jan 7, 1995",268.93,274.523,"932,290",271.275
"Jan 8, 1995",266.265,271.996,"2,593,584",267.544
"Jan 9, 1995",272.302,276.176,"1,320,850",273.46
"Jan 10, 1995",276.514,278.522,"2,192,858",276.351
"Jan 11, 1995",272.383,281.123,"3,782,484",274.036
"Jan 12, 1995",271.227,276.325,"2,739,616",270.297
"Jan 13, 1995",270.361,275.767,"3,775,752",269.937
"Jan 14, 1995",272.56,274.541,"779,994",272.393
"Jan 15, 1995",272.578,276.782,"1,115,404",274.638
"Jan 16, 1995",270.886,279.059,"4,615,466",270.753
"Jan 17, 1995",274.661,281.055,"4,911,178",270.021
"Jan 18, 1995",275.96,282.379,"1,191,568",275.145
"Jan 19, 1995",275.613,280.693,"3,117,170",273.516
"Jan 20, 1995",277.169,280.712,"1,435,092",273.918
"Jan 21, 1995",275.598,279.249,"2,707,398",275.016
"Jan 22, 1995",278.534,283.282,"504,654",279.752
"Jan 23, 1995",277.112,283.09,"2,908,666",276.787
"Jan 24, 1995",276.26,279.263,"4,390,808",273.587
"Jan 25, 1995",275.028,284.717,"574,288",281.152
"Jan 26, 1995",275.17,284.92,"3,273,758",278.117
"Jan 27, 1995",273.049,276.964,"4,561,414",270.97
"Jan 28, 1995",276.324,281.871,"2,995,044",277.429
"Jan 29, 1995",279.234,281.695,"1,469,908",278.326
"Jan 30, 1995",272.038,280.72,"2,404,110",275.612
"Jan 31, 1995",268.894,278.187,"5,352,278",269.94
"Feb 1, 1995",275.486,284.728,"5,309,174",274.71
"Feb 2, 1995",273.641,280.837,"3,447,690",275.383
"Feb 3, 1995",270.361,280.239,"5,415,704",273.251
"Feb 4, 1995",276.384,280.041,"1,872,146",277.046
"Feb 5, 1995",278.764,281.257,"2,890,302",278.658
"Feb 6, 1995",280.308,282.084,"1,344,336",280.498
"Feb 7, 1995",277.989,281.446,"3,582,632",277.701
"Feb 8, 1995",279.144,282.596,"2,113,976",279.179
"Feb 9, 1995",275.807,280.504,"1,428,612",277.567
"Feb 10, 1995",275.536,281.935,"3,439,372",277.011
"Feb 11, 1995",278.48,281.819,"2,064,670",277.922
"Feb 12, 1995",277.836,283.437,"6,175,276",277.403
"Feb 13, 1995",278.235,286.661,"6,512,678",279.796
"Feb 14, 1995",278.536,282.265,"6,424,588",275.994
"Feb 15, 1995",279.342,285.371,"2,252,186",280.062
"Feb 16, 1995",278.958,282.33,"6,724,044",276.818
"Feb 17, 1995",278.526,282.198,"4,565,052",276.765
"Feb 18, 1995",275.118,280.255,"5,814,922",275.394
"Feb 19, 1995",275.194,281.239,"3,743,364",275.911
"Feb 20, 1995",281.063,283.249,"1,234,690",279.638
"Feb 21, 1995",275.913,285.739,"7,688,416",277.029
"Feb 22, 1995",271.564,279.814,"9,637,416",271.67
"Feb 23, 1995",273.753,279.269,"6,463,956",271.79
"Feb 24, 1995",275.029,280.903,"3,249,698",275.372
"Feb 25, 1995",275.883,282.338,"5,231,470",276.927
"Feb 26, 1995",274.684,278.936,"7,636,138",272.95
"Feb 27, 1995",272.909,278.846,"8,395,770",270.113
"Feb 28, 1995",276.521,280.944,"3,450,454",274.354
"Mar 1, 1995",277.269,284.326,"9,066,922",276.39
"Mar 2, 1995",276.417,280.542,"9,308,592",274.266
"Mar 3, 1995",271.793,279.582,"7,948,958",273.703
"Mar 4, 1995",269.143,279.247,"11,161,105.883",270.705
"Mar 5, 1995",270.581,277.286,"3,934,348.968",272.229
"Mar 6, 1995",274.142,279.414,"7,561,573.59",274.153
"Mar 7, 1995",271.8,279.643,"9,653,069.273",270.789
"Mar 8, 1995",273.592,280.886,"7,435,155.766",271.952
"Mar 9, 1995",273.212,279.44,"6,546,581.102",271.909
"Mar 10, 1995",272.01,284.968,"12,668,788.906",272.317
"Mar 11, 1995",272.401,287.671,"12,559,456.746",274.343
"Mar 12, 1995",272.819,287.411,"12,760,809.746",276.005
