Time,Direction,Date,Pn (umol/m2/s),PAR (umol/m2/s),gs (mol/m2/s),WUE (umol/mol),Ta (degree C),VPD (Pa)
9.417301249,East,08-Jun,14.24418605,1485.608856,0.153296703,93.12080537,22.60798429,1374.875539
11.32409382,East,08-Jun,11.47286822,1349.077491,0.112214708,102.9362416,24.04123037,1817.125788
13.24611636,East,08-Jun,9.198966408,928.4132841,0.105748098,86.82885906,25.72971204,2027.049452
15.16204691,East,08-Jun,3.617571059,711.4391144,0.030304311,119.4211409,25.51374346,2152.339861
16.17027109,East,08-Jun,4.360465116,517.3431734,0.050718512,84.68959732,24.7578534,1948.224361
17.24855315,East,08-Jun,3.107235142,91.51291513,0.055156382,56.62751678,25.01308901,2117.490873
18.24763935,East,08-Jun,1.227390181,35.42435424,0.020540997,61.15771812,24.60078534,1951.543312
18.91166616,East,08-Jun,2.131782946,98.15498155,0.048562975,44.79865772,22.79450262,1181.546631
9.41120926,North,08-Jun,7.054263566,213.2841328,0.109044801,65.18456376,22.60798429,1374.875539
11.33018581,North,08-Jun,7.642118863,1132.103321,0.109678783,69.96644295,24.04123037,1817.125788
13.24611636,North,08-Jun,0.878552972,90.77490775,0.06580727,13.21308725,25.72971204,2027.049452
15.15900091,North,08-Jun,0.645994832,42.06642066,0.040701606,16.10738255,25.51374346,2152.339861
16.1641791,North,08-Jun,13.97286822,850.9225092,0.183727811,76.51006711,24.7578534,1948.224361
17.24550716,North,08-Jun,1.388888889,123.9852399,0.008241758,176.0486577,25.01308901,2117.490873
18.25982333,North,08-Jun,8.656330749,1222.140221,0.078994083,110.1090604,24.60078534,1951.543312
18.90862016,North,08-Jun,10.62015504,1155.719557,0.110946746,95.88926174,22.79450262,1181.546631
9.414255254,South,08-Jun,4.392764858,433.9483395,0.117793745,37.75167785,22.60798429,1374.875539
11.3332318,South,08-Jun,6.970284238,297.4169742,0.11386306,61.40939597,24.04123037,1817.125788
13.24307036,South,08-Jun,9.980620155,616.2361624,0.105114117,95.63758389,25.72971204,2027.049452
15.1681389,South,08-Jun,12.00258398,1482.656827,0.126415892,94.50503356,25.51374346,2152.339861
16.1641791,South,08-Jun,9.88372093,1621.402214,0.089137785,111.4932886,24.7578534,1948.224361
17.25464514,South,08-Jun,8.165374677,282.6568266,0.074175824,111.3674497,25.01308901,2117.490873
18.24763935,South,08-Jun,6.757105943,1222.140221,0.044759087,153.5234899,24.60078534,1951.543312
18.91166616,South,08-Jun,10.88501292,1154.98155,0.074175824,147.9865772,22.79450262,1181.546631
9.414255254,West,08-Jun,1.634366925,58.30258303,0.063778529,25.29362416,22.60798429,1374.875539
11.33018581,West,08-Jun,1.860465116,73.80073801,0.049070161,38.38087248,24.04123037,1817.125788
13.25220835,West,08-Jun,7.144702842,279.704797,0.084573119,85.82214765,25.72971204,2027.049452
15.1681389,West,08-Jun,9.599483204,1155.719557,0.095731192,100.6711409,25.51374346,2152.339861
16.1641791,West,08-Jun,6.324289406,321.0332103,0.050972105,126.3422819,24.7578534,1948.224361
17.24855315,West,08-Jun,7.596899225,1253.136531,0.069103973,111.4932886,25.01308901,2117.490873
18.25982333,West,08-Jun,8.656330749,1040.590406,0.084065934,102.5587248,24.60078534,1951.543312
18.91775815,West,08-Jun,6.382428941,752.7675277,0.044885883,145.2181208,22.79450262,1181.546631
10.91399152,East,28-Jul,9.742930591,305.3199692,0.256122891,38.25710754,25.06060606,1156.654497
12.1677771,East,28-Jul,12.09511568,1822.667695,0.174859368,70.02472188,20.15151515,550.9459011
13.00363416,East,28-Jul,11.57455013,1952.968389,0.237819126,49.38195303,22.88888889,869.5652174
14.16050878,East,28-Jul,9.955012853,1597.532768,0.154608395,64.70951792,25.76767677,1465.31696
15.0841914,East,28-Jul,11.9344473,1433.307633,0.173561229,68.41779975,24.56565657,1312.645204
16.08661417,East,28-Jul,0.713367609,232.074017,0.083989615,8.714462299,22.62626263,1220.544308
17.66444579,East,28-Jul,0.28277635,175.7902853,0.119169191,1.915945612,22.61616162,1370.72685
19.08782556,East,28-Jul,0.044987147,126.4456438,0.079056685,0.556242274,19.11111111,969.1337537
19.90854028,East,28-Jul,-3.611825193,53.1996916,0.067892687,-54.4499382,14.78787879,395.784932
10.91399152,North,28-Jul,5.096401028,245.1811874,0.254824751,20.08652658,25.06060606,1156.654497
12.1677771,North,28-Jul,5.392030848,565.150347,0.084508871,63.22620519,20.15151515,550.9459011
12.99757723,North,28-Jul,5.411311054,205.8596762,0.162397231,33.55995056,22.88888889,869.5652174
14.16959419,North,28-Jul,1.645244216,87.12413261,0.115664215,14.40049444,25.76767677,1465.31696
15.08116293,North,28-Jul,3.361182519,199.691596,0.135136305,25.40173053,24.56565657,1312.645204
16.08055724,North,28-Jul,0.250642674,797.2243639,0.075162267,3.028430161,22.62626263,1220.544308
17.66747426,North,28-Jul,0.835475578,242.8681573,0.110212029,7.60197775,22.61616162,1370.72685
19.07874016,North,28-Jul,-1.015424165,236.7000771,0.058805712,-17.61433869,19.11111111,969.1337537
19.91156875,North,28-Jul,-3.470437018,27.75636083,0.086196452,-40.35846724,14.78787879,395.784932
10.91096305,South,28-Jul,12.01799486,556.6692367,0.309476417,39.36959209,25.06060606,1156.654497
12.1677771,South,28-Jul,13.21336761,1787.972244,0.194850714,66.31644005,20.15151515,550.9459011
13.00363416,South,28-Jul,11.47172237,1851.966076,0.200043271,57.78739184,22.88888889,869.5652174
14.16959419,South,28-Jul,11.54884319,1666.92367,0.196148853,59.02348578,25.76767677,1465.31696
15.08116293,South,28-Jul,12.46786632,1846.569005,0.19900476,62.85537701,24.56565657,1312.645204
16.08661417,South,28-Jul,6.401028278,552.0431766,0.146300303,44.68479604,22.62626263,1220.544308
17.66141732,South,28-Jul,3.104113111,382.4209715,0.107875379,28.86279357,22.61616162,1370.72685
19.08479709,South,28-Jul,5.334190231,144.1788743,0.152791,35.16687268,19.11111111,969.1337537
19.91459721,South,28-Jul,-2.165809769,57.05474171,0.05478148,-39.98763906,14.78787879,395.784932
10.91399152,West,28-Jul,5.462724936,200.462606,0.199264388,27.62669963,25.06060606,1156.654497
12.1677771,West,28-Jul,5.719794344,222.0508867,0.088922544,65.2039555,20.15151515,550.9459011
12.99454876,West,28-Jul,2.397172237,95.60524287,0.174859368,13.78244747,22.88888889,869.5652174
14.17262265,West,28-Jul,7.435732648,262.9144179,0.204456945,36.52657602,25.76767677,1465.31696
15.075106,West,28-Jul,0.931876607,154.2020046,0.146170489,6.365883807,24.56565657,1312.645204
16.09267111,West,28-Jul,6.394601542,841.1719352,0.165123323,38.50432633,22.62626263,1220.544308
17.66747426,West,28-Jul,2.088688946,175.0192753,0.110212029,18.72682324,22.61616162,1370.72685
19.08479709,West,28-Jul,1.291773779,673.8627602,0.089311986,14.40049444,19.11111111,969.1337537
19.91156875,West,28-Jul,-2.429305913,44.71858134,0.055300736,-43.5723115,14.78787879,395.784932
10.49916528,East,01-Oct,5.647142182,533.5489086,0.127540835,44.02529437,15.65141528,715.8261447
11.25041736,East,01-Oct,6.688710439,455.1333872,0.125635209,53.70693415,17.21209771,886.6954214
12.24540902,East,01-Oct,0.885687293,991.1075182,0.072005445,12.36371566,17.01822412,847.7106835
13.33388982,East,01-Oct,0.453471894,641.0670978,0.05907441,7.78456171,16.90189996,817.8500332
14.19532554,East,01-Oct,1.154936231,871.4632175,0.06438294,17.46620148,17.10546724,781.3536828
14.86310518,East,01-Oct,1.310817194,713.0153597,0.062205082,20.21369385,15.21519969,572.3291307
16.33889816,East,01-Oct,-1.778460085,125.3031528,0.031987296,-56.71609246,13.50911206,408.0955541
10.49916528,North,01-Oct,-0.970713274,233.6297494,0.084800363,-11.97121675,15.65141528,715.8261447
11.24373957,North,01-Oct,-0.368445914,211.8027486,0.078402904,-5.037069341,17.21209771,886.6954214
